trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
76,False,"{'a': 0.995, 'e': 0.6866430931872}",25,8,-2.20723306572841,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.995, 'e': 0.683209877721264}",20,0,-100.56035251833165,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
78,False,"{'a': 0.995, 'e': 0.6797938283326577}",20,14,-13.811398408911424,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
79,False,"{'a': 0.995, 'e': 0.6763948591909944}",20,6,-64.35340204570805,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 1}",1
80,False,"{'a': 0.995, 'e': 0.6730128848950394}",20,6,-9.62933445871733,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
81,False,"{'a': 0.995, 'e': 0.6696478204705641}",25,0,-105.02928510936692,"{0: 14, 1: 6, 2: 3, 3: 1, 4: 1}",0
82,False,"{'a': 0.995, 'e': 0.6662995813682113}",20,0,-47.14125980342919,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
83,False,"{'a': 0.995, 'e': 0.6629680834613703}",20,0,-57.60342295152681,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
84,False,"{'a': 0.995, 'e': 0.6596532430440635}",20,12,-36.75895878899022,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
85,False,"{'a': 0.995, 'e': 0.6563549768288431}",20,12,6.541284333534598,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.995, 'e': 0.653073201944699}",20,11,-25.42781259104631,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
87,False,"{'a': 0.995, 'e': 0.6498078359349754}",30,0,-52.24074078173528,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
88,False,"{'a': 0.995, 'e': 0.6465587967553006}",20,2,-7.557528966340799,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
89,False,"{'a': 0.995, 'e': 0.6433260027715241}",25,0,-175.81926268370003,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
90,False,"{'a': 0.995, 'e': 0.6401093727576664}",25,4,-137.1313801147069,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 2}",1
91,False,"{'a': 0.995, 'e': 0.6369088258938781}",30,18,-7.647089786991386,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
92,False,"{'a': 0.995, 'e': 0.6337242817644086}",20,0,-41.248543585993,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
93,False,"{'a': 0.995, 'e': 0.6305556603555866}",25,0,-307.92895541518425,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 7}",0
94,False,"{'a': 0.995, 'e': 0.6274028820538087}",20,3,-134.40636876819113,"{0: 9, 1: 0, 2: 5, 3: 1, 4: 2}",1
95,False,"{'a': 0.995, 'e': 0.6242658676435396}",25,9,-0.41141127366914665,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.995, 'e': 0.621144538305322}",25,5,-38.74127251415033,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",1
97,False,"{'a': 0.995, 'e': 0.6180388156137954}",20,3,-1.6565326854912141,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
